recording date,grid position,session ID,trellis filenumber,mat filename,iontophoresis,voltage,isolation quality,plx file range,included trials,electode broken?,comment/electrode,general comment,included to analysis ?,excluded due to electordes,
,,,7,ka_0026_12.31.grating.CO.mat,control,,c1=1,,,,,,,,
,,,8,ka_0026_12.32.grating.TF.mat,control,,c1=2,,,,,,,,
,,,9,ka_0026_12.34.grating.CO.mat,control,,c1=2,,,,,,,,
,,,10,ka_0026_12.35.grating.OR.mat,control,,c1=2,,,,,,,,
,,,11,ka_0026_12.37.grating.OR.mat,5HT_15nA,0.6,c1=1,,,,,,,,
,,,12,ka_0026_12.39.grating.OR.mat,control,,c1=2,,,,,,,,
,,,13,ka_0026_12.41.grating.OR.mat,control,,c1=2,,,,,,,,
,,,14,ka_0026_12.44.grating.ORxCOxRC.mat,control,,c1=2.5,,,,,,,,
,,,15,ka_0026_12.48.grating.ORxCOxRC.mat,control,,c1=2.5,,,,,,,,
,,27,1,ka_0027_13.21.grating.XPos.mat,,,1,,,no,,,,,
,,,2,ka_0027_13.22.grating.YPos.mat,,,1.5,,,,,,,,
,,,3,ka_0027_13.23.grating.ORxM.mat,,,2.5,,,,,,,,
,,,4,ka_0027_13.25.grating.OR.mat,control,,3,,,,,,,,
,,,5,ka_0027_13.26.grating.OR.mat,5HT_10nA,0.9,3,,,,,,,,
,,,6,ka_0027_13.28.grating.OR.mat,control,,3,,,,,,,,
,,,7,ka_0027_13.29.grating.OR.mat,5HT_20nA,1.9,2.5,,,,,,,,
,,,8,ka_0027_13.31.grating.OR.mat,control,,2.5,,,,,,,,
,,,9,ka_0027_13.33.grating.OR.mat,control,,2.5,,,,,,,,
,,,10,ka_0027_13.35.grating.OR.mat,control,,2.5,,,,,,,,
,,,11,ka_0027_13.37.grating.OR.mat,5HT_35nA,4.2,2,,,,,,,,
,,,12,ka_0027_13.38.grating.OR.mat,control,,2,,,,,,,,
,,,13,ka_0027_13.40.grating.OR.mat,5HT_15nA,0,2.5,,,,,,,,
,,,14,ka_0027_13.42.grating.OR.mat,control,,3.5,,,,,,,,
04.11.2016,"+2,+3",28,1,ka_0028_14.06.grating.XPos.mat,,,4,,,yes,"on serotonin side, 30 um",,,,
,,,2,ka_0028_14.07.grating.YPos.mat,,,4,,,,,,,,
